,2019,2024,2029
Stock Direct electric (Million),8.827128881770857,8.092221015102577,7.8071622673771195
Stock Heat pump (Million),1.6922509320329897,3.765899016528096,5.5738082345773
Stock Oil fuel (Million),3.0635319192101496,2.157509154281979,1.3048472134842035
Stock Wood fuel (Million),1.5366308905995165,2.504068403056543,3.0961161680928724
Stock Natural gas (Million),11.952721731351566,11.474523535783252,11.117992140772168
